序号,省份,城市,景区名称,景区类型,游客口碑,亲子友好度,老人友好度,夫妻友好度,一人游友好度,建议游览时长(h),日均酒景预算(元),交通可达性,全年适宜度,最佳旅游季节,最佳月份,文化生态独特价值,基础设施与配套,性价比,综合加权满意度
322,宁夏,银川市,镇北堡西部影城,影视主题,8.15,8.2,6.6,7.3,7.3,3,329,7.6,6.0,夏秋,5-10月,7.0,7.75,8.95,7.57
323,宁夏,中卫市,沙坡头旅游景区,沙漠绿洲,8.45,7.2,5.6,8.2,7.3,5,466,6.9,4.0,夏秋,5-10月,8.5,7.5,8.4,7.52
324,宁夏,石嘴山市,沙湖旅游景区,沙漠湖泊,8.3,7.6,6.4,8.0,6.8,4,466,7.4,5.0,夏秋,5-9月,8.0,7.5,7.6,7.48
325,新疆,吐鲁番市,吐鲁番葡萄沟,自然人文,8.4,7.2,6.1,7.7,7.3,3,416,7.4,3.0,夏秋,7-9月,8.0,7.25,8.5,7.4
326,新疆,吐鲁番市,火焰山景区,自然景观,7.8,5.0,4.0,7.0,7.0,2,400,7.0,2.0,春秋,4-5月/9-10月,8.0,6.5,7.0,6.56
327,新疆,阿勒泰地区,喀纳斯景区,自然湖泊,9.45,6.2,5.1,8.7,7.7,8,836,5.4,3.0,夏秋,6-10月,10.0,7.0,6.5,7.42
328,新疆,伊犁州,那拉提旅游风景区,自然草原,8.9,6.2,5.6,8.7,7.7,6,546,5.4,3.0,夏,6-8月,9.5,6.75,8.45,7.45
329,新疆,伊犁州,喀拉峻风景区,自然草原,8.7,5.7,5.1,8.7,7.7,6,546,5.4,3.0,夏,6-8月,9.5,6.75,8.45,7.34
330,新疆,博州,赛里木湖景区,自然湖泊,8.8,6.6,5.9,9.0,7.7,4,546,5.9,3.0,夏,6-8月,9.5,6.75,7.55,7.49
331,新疆,克拉玛依市,世界魔鬼城景区,自然地质,8.35,6.2,5.6,7.7,7.3,3,466,6.4,3.0,春秋,5-6月/9-10月,8.5,7.25,8.15,7.22
332,新疆,巴州,天山大峡谷景区,自然峡谷,8.45,5.2,4.7,7.7,7.2,5,544,7.1,4.0,夏秋,6-10月,8.5,7.45,6.95,7.11
333,新疆,阿克苏地区,天山托木尔景区,自然冰川,8.2,4.7,4.2,7.7,7.2,6,686,5.4,3.0,夏,7-8月,9.0,6.0,6.5,6.63
334,新疆,喀什地区,泽普金湖杨景区,自然生态,8.2,6.6,6.4,8.0,7.4,3,494,7.1,3.0,秋,10月,8.0,7.3,7.35,7.26
335,新疆,喀什地区,喀什噶尔老城景区,历史文化,8.7,7.6,7.4,8.1,8.55,4,684,7.6,5.0,春秋,5-6月/9-10月,9.5,7.8,7.0,8.0
336,新疆,喀什地区,帕米尔旅游区,自然高原,8.35,5.2,4.6,7.8,7.4,6,594,6.6,3.0,夏秋,6-10月,9.5,6.8,7.65,7.15
337,新疆,伊犁州,特克斯八卦城景区,历史文化,8.0,5.0,5.0,7.0,7.0,3,500,5.0,6.0,夏,6-8月,7.5,7.0,7.5,6.7
338,新疆,昌吉州,天山天池景区,自然湖泊,9.1,6.7,5.2,8.2,7.7,5,546,6.4,4.0,夏,6-8月,9.0,7.0,7.65,7.47
339,新疆,和田地区,和田团城景区,历史文化,7.8,6.0,6.0,7.0,7.0,2,400,5.0,6.0,春秋,4-5月/9-10月,7.5,6.5,7.5,6.77
340,新疆,阿勒泰地区,可可托海景区,自然地质,8.45,5.7,5.1,8.5,7.2,5,546,5.4,3.0,夏秋,6-10月,9.0,6.5,7.45,7.05
341,新疆,阿勒泰地区,白沙湖景区,自然湖泊,8.0,5.0,4.0,7.0,7.0,3,500,4.0,3.0,夏秋,6-9月,7.5,6.0,7.0,6.2
342,新疆,伊犁州,伊犁河景区,城市风光,8.0,6.0,6.0,8.0,7.0,3,500,5.0,5.0,夏,6-8月,7.5,7.0,7.5,6.91
343,新疆兵团,第十师,白沙湖景区(兵团),自然湖泊,7.8,4.0,4.0,7.0,7.0,3,400,4.0,3.0,夏秋,6-9月,7.5,5.5,7.5,6.08
344,河北,张家口市,崇礼翠云山银河滑雪场景区,冰雪运动,8.0,6.0,3.0,8.0,6.0,5,700,7.0,3.0,冬,11-3月,7.0,8.0,6.5,6.64
345,内蒙古,呼伦贝尔市,呼伦贝尔草原旅游区,自然草原,8.7,6.7,5.2,8.7,7.1,6,566,6.4,3.0,夏,6-8月,9.5,7.25,8.1,7.51
346,黑龙江,哈尔滨市,东北虎林园,生态观光,8.0,8.0,5.0,6.0,6.0,3,500,8.0,5.0,夏冬,5-9月/12-2月,7.5,7.5,7.0,7.02
347,上海,黄浦区,上海外滩-陆家嘴景区,城市风光,9.0,7.0,7.0,9.0,8.0,3,800,10.0,9.0,四季,全年,8.5,9.5,8.0,8.59
348,江西,赣州市,通天岩景区,历史文化,7.8,5.0,5.0,6.0,7.0,3,350,6.0,7.0,春秋,3-5月/9-11月,7.5,6.5,8.0,6.7
349,湖南,长沙市,长沙世界之窗,主题乐园,7.8,8.0,4.0,6.0,5.0,5,400,9.0,8.0,四季,全年,6.5,7.5,7.0,6.93
350,广东,东莞市,观音山国家森林公园,自然森林,7.8,6.0,5.0,7.0,6.0,4,400,8.0,7.0,秋冬春,10-4月,7.0,7.5,8.0,7.05
351,广西,柳州市,柳州龙潭景区,自然山水,8.0,7.0,6.0,7.0,7.0,3,350,7.0,7.0,春秋,3-5月/9-11月,7.5,7.5,8.5,7.34
352,海南,琼海市,博鳌亚洲论坛永久会址景区,会议文化,7.8,5.0,5.0,7.0,7.0,3,600,7.0,7.0,冬春,11-4月,7.0,8.0,7.0,6.92
353,重庆,涪陵区,武陵山大裂谷景区,自然地质,8.1,5.7,5.5,7.3,7.35,5,494,7.6,6.0,夏秋,5-10月,7.5,7.7,7.2,7.19
354,贵州,六盘水市,乌蒙大草原旅游景区,自然草原,8.0,5.0,4.0,7.0,7.0,4,400,5.0,5.0,夏,6-8月,7.5,6.5,7.5,6.51
355,云南,大理州,苍山洱海景区,自然山水,9.2,6.0,5.0,10.0,8.0,6,700,7.0,7.0,四季,3-5月/9-11月,9.5,8.0,7.5,8.01
356,甘肃,甘南州,拉卜楞寺景区,宗教文化,8.5,4.0,4.0,7.0,8.0,3,400,5.0,4.0,夏秋,6-9月,9.0,6.5,8.0,6.8
357,宁夏,银川市,贺兰山岩画景区,历史遗迹,8.0,5.0,5.0,7.0,7.0,3,350,7.0,5.0,夏秋,5-10月,8.5,7.0,8.0,7.04
358,青海,玉树州,勒巴沟-文成公主庙景区,历史文化,8.0,3.0,3.0,7.0,7.0,4,600,4.0,3.0,夏,6-8月,8.5,5.5,7.5,6.1
